Supplier Name,Mobile,Email,Phone,GST Number,TAX Number,Country Name,State Name,City,Postcode,Address,Opening Balance
Boss Plastik,,,,,,Bangladesh,,,,,-232906
Arabi Products,,,,,,Bangladesh,,,,,-316450
Alamin,,,,,,Bangladesh,,,,,-58548
Abdur Rahman Camical,,,,,,Bangladesh,,,,,-62560
A.G. Printing,,,,,,Bangladesh,,,,,-47840
Holotech Bangladesh,,,,,,Bangladesh,,,,,0
J.S. Enterprise (Jalil),,,,,,Bangladesh,,,,,0
S.A.J. Corporation,,,,,,Bangladesh,,,,,-204190
Mith Ind. (Jalil Vai),,,,,,Bangladesh,,,,,-25500
Kingdom Enterprice,,,,,,Bangladesh,,,,,-81670
K.R. Plastic,,,,,,Bangladesh,,,,,-26587
Bismillah Packaging,,,,,,Bangladesh,,,,,-31700
Nur Hossain,,,,,,Bangladesh,,,,,0
Mahi Ingediant,,,,,,Bangladesh,,,,,-273029
Mobarak Plastik,,,,,,Bangladesh,,,,,-252404
Maria Perfumary,,,,,,Bangladesh,,,,,-30000
Rasna,,,,,,Bangladesh,,,,,-115545
Vhai Vhai Plastik,,,,,,Bangladesh,,,,,-244941
UM Plastik,,,,,,Bangladesh,,,,,-11130
Zaman Phot / Premier Plastic,,,,,,Bangladesh,,,,,0